num_seq_,Seq_input,Seq_input_aa,predicted_class,Certainty %,Kmers_by_sequence,Kmers_predicted_to_class,Query_coverage %,Rep_of_class_predict,Sequences_by_cltr,family_2021,family_2023,family_divercity,Genus,Protein_type,Protein_class,Host,Chain
6809,OP075536.1_51_38671_39789,372,978,0.93,4,3.0,75.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6810,OP075695.1_8_2799_4520,573,979,0.92,14,7.0,50.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6811,OP075695.1_14_8219_10420,733,978,0.97,22,10.0,45.45,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6812,OP075695.1_19_13289_16192,967,978,0.95,34,23.0,67.65,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6813,OP075695.1_30_19824_20969,381,979,0.84,5,2.0,40.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6814,OP075695.1_32_21516_22811,431,426,0.93,7,2.0,28.57,CAN89114.1,152,Reoviridae,Sedoreoviridae,Reoviridae,Orbivirus,VP2 protein,Structural-Envelope,Bos taurus,dsRNA
6815,OP075695.1_33_23245_30033,2262,978,0.95,99,52.0,52.53,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6816,OP075695.1_34_30043_31209,388,979,0.98,5,1.0,20.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6817,OP075695.1_36_31459_33612,717,708,0.99,21,1.0,4.76,QID92311.1,66,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,Cytorhabdovirus,L protein,Replication-Transcription,Fragaria x ananassa,ssRNA(-)
6818,OP075695.1_37_33622_37923,1433,978,0.94,57,26.0,45.61,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6819,OP075695.1_48_42824_44188,454,978,0.99,8,8.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6820,OP075717.1_16_4974_7670,898,978,0.9,30,7.0,23.33,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6821,OP075717.1_25_11596_13086,496,979,0.95,10,5.0,50.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6822,OP075717.1_28_14175_17642,1155,978,0.91,43,16.0,37.21,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6823,OP075717.1_29_17670_22112,1480,978,0.98,59,34.0,57.63,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6824,OP075717.1_32_23338_24780,480,978,0.98,9,1.0,11.11,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6825,OP075717.1_36_26637_28733,698,978,0.94,20,12.0,60.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6826,OP075717.1_39_29348_31321,657,979,0.96,18,5.0,27.78,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6827,OP075717.1_40_31387_47562,5391,978,0.97,255,178.0,69.8,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6828,OP075717.1_41_47565_48746,393,978,1.0,5,4.0,80.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6829,OP075717.1_44_50343_51824,493,978,0.99,10,9.0,90.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6830,OP075717.1_45_52088_54808,906,978,0.96,31,12.0,38.71,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6831,OP075717.1_46_54994_56463,489,978,0.99,10,5.0,50.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6832,OP075717.1_47_56483_57406,307,426,0.89,1,1.0,100.0,CAN89114.1,152,Reoviridae,Sedoreoviridae,Reoviridae,Orbivirus,VP2 protein,Structural-Envelope,Bos taurus,dsRNA
6833,OP075717.1_52_60111_62237,708,978,0.96,21,18.0,85.71,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6834,OP075717.1_54_62477_64213,578,979,0.9,14,8.0,57.14,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6835,OP075717.1_56_64939_66276,445,979,0.99,8,8.0,100.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6836,OP075717.1_58_66926_68098,390,979,0.94,5,3.0,60.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6837,OP075717.1_59_68223_69890,555,979,0.94,13,3.0,23.08,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6838,OP076084.1_2_796_1893,365,979,0.96,4,4.0,100.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6839,OP076084.1_22_10268_11536,422,978,0.88,7,2.0,28.57,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6840,OP076084.1_30_14396_16051,551,978,0.99,13,13.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6841,OP076084.1_31_16069_17319,416,676,0.97,6,4.0,66.67,QDZ58984.1,73,Phasmaviridae,Phasmaviridae,Phasmaviridae-Peribunyaviridae,Orthophasmavirus,RNA-dependent RNA polymerase,Replication-Transcription,Chaoborus americanus,ssRNA(-)
6842,OP076084.1_33_17939_19171,410,978,0.99,6,5.0,83.33,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6843,OP076084.1_43_23269_26004,911,978,1.0,31,31.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6844,OP076084.1_45_26900_28054,384,978,0.94,5,2.0,40.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6845,OP076084.1_46_28060_29196,378,978,0.98,4,4.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6846,OP076084.1_48_29641_30783,380,978,0.94,4,2.0,50.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6847,OP076084.1_50_31507_32568,353,978,0.95,3,1.0,33.33,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6848,OP076084.1_53_33336_34745,469,978,1.0,9,9.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6849,OP076084.1_57_36189_37241,350,979,0.99,3,3.0,100.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6850,OP076213.1_18_8595_9863,422,978,0.84,7,1.0,14.29,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6851,OP076213.1_26_12722_14377,551,978,0.99,13,13.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6852,OP076213.1_27_14395_15675,426,978,0.94,7,6.0,85.71,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6853,OP076213.1_29_16290_17522,410,978,0.99,6,5.0,83.33,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6854,OP076213.1_40_21689_24688,999,978,0.99,35,35.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6855,OP076213.1_42_25584_26738,384,978,0.99,5,5.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6856,OP076213.1_43_26744_27880,378,978,1.0,4,4.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6857,OP076213.1_45_28325_29467,380,978,0.98,4,3.0,75.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6858,OP076213.1_47_30191_31252,353,978,0.95,3,2.0,66.67,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6859,OP076213.1_50_32020_33429,469,978,1.0,9,9.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6860,OP076213.1_54_34884_35945,353,978,0.92,3,1.0,33.33,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6861,OP076213.1_55_36382_38322,647,978,0.97,18,8.0,44.44,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6862,OP076218.1_3_1714_2799,361,978,0.98,4,1.0,25.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6863,OP076218.1_16_9079_10011,310,979,0.98,1,1.0,100.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6864,OP076218.1_32_16791_18062,423,978,0.94,7,5.0,71.43,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6865,OP076218.1_33_18097_19476,459,978,0.97,8,7.0,87.5,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6866,OP076218.1_34_19463_20971,502,978,1.0,11,11.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6867,OP076218.1_38_22301_23299,332,978,1.0,2,2.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6868,OP076218.1_46_26186_28609,807,979,0.97,26,12.0,46.15,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6869,OP076218.1_48_29379_31160,593,978,0.97,15,14.0,93.33,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6870,OP076218.1_49_31172_32341,389,978,1.0,5,5.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6871,OP076218.1_51_33070_34962,630,978,0.97,17,15.0,88.24,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6872,OP076218.1_53_35259_36515,418,979,0.9,6,2.0,33.33,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6873,OP076251.1_2_540_2261,573,979,0.94,14,7.0,50.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6874,OP076251.1_13_6597_7961,454,978,0.99,8,8.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6875,OP076251.1_25_13037_17338,1433,978,0.94,57,26.0,45.61,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6876,OP076251.1_26_17348_19483,711,979,0.9,21,4.0,19.05,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6877,OP076251.1_28_19733_20899,388,979,0.85,5,2.0,40.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6878,OP076251.1_29_20909_27697,2262,978,0.96,99,56.0,56.57,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6879,OP076251.1_30_28130_29425,431,426,0.99,7,3.0,42.86,CAN89114.1,152,Reoviridae,Sedoreoviridae,Reoviridae,Orbivirus,VP2 protein,Structural-Envelope,Bos taurus,dsRNA
6880,OP076251.1_32_29971_31116,381,979,0.84,5,2.0,40.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6881,OM885966.1_1_1_915,305,10,1.0,1,1.0,100.0,BAG82822.1,32162,Picornaviridae,Picornaviridae,Picornaviridae-Retroviridae,Enterovirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(+)
6882,OP390220.1_2_945_1994,349,112,1.0,3,3.0,100.0,QEO75949.1,972,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,Orthobunyavirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(-)
6883,OP390220.1_3_2084_3841,585,371,0.99,15,15.0,100.0,ADZ29764.1,184,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,ankyrin-like protein,Other-Functions,Homo sapiens,dsDNA
6884,OP390220.1_4_4086_5399,437,635,1.0,7,7.0,100.0,YP_005296211.1,85,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV017 protein,Other-Functions,Homo sapiens,dsDNA
6885,OP390220.1_11_10161_12092,643,442,1.0,18,18.0,100.0,SNB53750.1,146,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,ankyrin-like protein,Other-Functions,Homo sapiens,dsDNA
6886,OP390220.1_13_12618_14510,630,563,0.99,17,17.0,100.0,AXN75247.1,110,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV027 protein,Other-Functions,Homo sapiens,dsDNA
6887,OP390220.1_22_20348_21676,442,535,1.0,8,8.0,100.0,YP_010085700.1,119,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV039 protein,Other-Functions,Homo sapiens,dsDNA
6888,OP390220.1_25_23594_24721,375,978,0.98,4,3.0,75.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6889,OP390220.1_27_25066_26340,424,650,1.0,7,7.0,100.0,YP_009268722.1,80,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV044 protein,Other-Functions,Homo sapiens,dsDNA
6890,OP390220.1_32_28989_30437,482,670,1.0,10,10.0,100.0,AKG51195.1,75,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV050 protein,Other-Functions,Homo sapiens,dsDNA
6891,OP390220.1_33_30448_31407,319,979,1.0,1,1.0,100.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6892,OP390220.1_39_33920_35239,439,513,1.0,7,7.0,100.0,YP_009112869.1,125,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,Ser/Thr kinase,Other-Functions,Homo sapiens,dsDNA
6893,OP390220.1_40_35262_36296,344,112,0.99,3,1.0,33.33,QEO75949.1,972,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,Orthobunyavirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(-)
6894,OP390220.1_41_36370_38277,635,421,1.0,17,17.0,100.0,QHG62585.1,155,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,EEV maturation protein,Other-Functions,Homo sapiens,dsDNA
6895,OP390220.1_42_38320_39438,372,182,1.0,4,4.0,100.0,QHW16755.1,542,Poxviridae,Poxviridae,Poxviridae,Parapoxvirus,major envelope protein,Structural-Envelope,Capra hircus,dsDNA
6896,OP390220.1_48_41492_42931,479,553,1.0,9,9.0,100.0,3OWG_A,114,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,poly(A) polymerase large subunit,Replication-Transcription,Homo sapiens,dsDNA
6897,OP390220.1_49_42928_45141,737,482,1.0,22,20.0,90.91,QGN68033.1,134,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
6898,OP390220.1_53_47444_49147,567,431,1.0,14,14.0,100.0,YP_010085169.1,151,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
6899,OP390220.1_56_50661_53681,1006,243,1.0,36,36.0,100.0,NP_957802.1,349,Poxviridae,Poxviridae,Poxviridae,Avipoxvirus,DNA polymerase,Replication-Transcription,Homo sapiens,dsDNA
6900,OP390220.1_59_54371_56368,665,385,1.0,19,19.0,100.0,QHR82581.1,177,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Hypothetical,Homo sapiens,dsDNA
6901,OP390220.1_61_56888_57826,312,676,0.83,1,1.0,100.0,QDZ58984.1,73,Phasmaviridae,Phasmaviridae,Phasmaviridae-Peribunyaviridae,Orthophasmavirus,RNA-dependent RNA polymerase,Replication-Transcription,Chaoborus americanus,ssRNA(-)
6902,OP390220.1_64_58946_61222,758,250,1.0,23,23.0,100.0,AAN04389.1,336,Poxviridae,Poxviridae,Poxviridae-Phycodnaviridae-Baculoviridae-Mimiviridae-Asfarviridae-Nimaviridae-Alloherpesviridae-Nudiviridae-Hytrosaviridae-Caulimoviridae,Orthopoxvirus,ribonucleotide reductase large subunit,Other-Functions,Homo sapiens,dsDNA
6903,OP390220.1_65_61547_62695,382,521,1.0,5,5.0,100.0,QJQ40211.1,123,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Hypothetical,Homo sapiens,dsDNA
6904,OP390220.1_66_62688_63959,423,465,1.0,7,7.0,100.0,NP_044000.1,139,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,viral core cysteine proteinase,Structural-Envelope,Homo sapiens,dsDNA
6905,OP390220.1_67_63965_65995,676,361,1.0,19,19.0,100.0,BCT22704.1,190,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,RNA-helicase,Replication-Transcription,Homo sapiens,dsDNA
6906,OP390220.1_68_65999_67774,591,614,1.0,15,15.0,100.0,QGN68052.1,90,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV088 protein,Other-Functions,Homo sapiens,dsDNA
6907,OP390220.1_72_69109_70413,434,461,1.0,7,7.0,100.0,QDJ95070.1,141,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
6908,OP390220.1_75_71075_72190,371,979,0.99,4,1.0,25.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6909,OP390220.1_77_73023_74045,340,897,0.94,2,1.0,50.0,AKS10590.1,39,Nimaviridae,Nimaviridae,Nimaviridae-Caulimoviridae,Whispovirus,hypothetical protein,Other-Functions,Penaeus vannamei,dsDNA
6910,OP390220.1_80_75084_76118,344,917,0.94,3,1.0,33.33,YP_009051991.1,37,Herpesviridae,Orthoherpesviridae,Herpesviridae,Roseolovirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
6911,OP390220.1_85_78328_79329,333,979,0.99,2,2.0,100.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
6912,OP390220.1_88_80369_84229,1286,321,1.0,50,50.0,100.0,ACN81881.1,227,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,DNA-dependent RNA polymerase subunit rpo147,Replication-Transcription,Homo sapiens,dsDNA
6913,OP390220.1_91_85328_86302,324,978,1.0,2,2.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6914,OP390220.1_92_86303_88690,795,391,1.0,25,25.0,100.0,YP_009112799.1,175,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV113 protein,Replication-Transcription,Homo sapiens,dsDNA
6915,OP390220.1_96_90974_93511,845,394,1.0,28,28.0,100.0,AQY17018.1,173,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,mRNA capping enzyme large subunit,Other-Functions,Homo sapiens,dsDNA
6916,OP390220.1_99_95292_97649,785,496,1.0,25,25.0,100.0,YP_008658501.1,130,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,NTPase,Other-Functions,Homo sapiens,dsDNA
6917,OP390220.1_100_97689_99602,637,539,1.0,17,17.0,100.0,YP_009162462.1,117,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,m81R,Replication-Transcription,Homo sapiens,dsDNA
6918,OP390220.1_105_102418_104313,631,500,1.0,17,17.0,100.0,YP_009389359.1,129,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV128 protein,Replication-Transcription,Homo sapiens,dsDNA
6919,OP390220.1_107_105242_106897,551,483,1.0,13,13.0,100.0,6BEB_A,134,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV131 protein,Structural-Envelope,Homo sapiens,dsDNA
6920,OP390220.1_111_108313_110247,644,235,1.0,18,18.0,100.0,YP_010085229.1,361,Poxviridae,Poxviridae,Poxviridae,Avipoxvirus,4b core protein,Structural-Envelope,Gallus gallus,dsDNA
6921,OP390220.1_114_111665_112783,372,374,0.91,4,3.0,75.0,YP_010088065.1,181,Fimoviridae,Fimoviridae,Fimoviridae,Emaravirus,RNA-dependent RNA polymerase,Replication-Transcription,Rosa sp.,ssRNA(-)
6922,OP390220.1_115_112807_114939,710,414,1.0,21,21.0,100.0,NP_957860.1,159,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV139 protein,Other-Functions,Homo sapiens,dsDNA
6923,OP390220.1_118_116155_118830,891,331,1.0,30,30.0,100.0,YP_009268819.1,215,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV142 protein,Other-Functions,Homo sapiens,dsDNA
6924,OP390220.1_119_118845_119801,318,370,0.97,1,1.0,100.0,YP_009252248.1,184,Herpesviridae,Orthoherpesviridae,Herpesviridae,Varicellovirus,ORF22,Structural-Envelope,Homo sapiens,dsDNA
6925,OP390220.1_123_121425_122558,377,112,1.0,4,4.0,100.0,QEO75949.1,972,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,Orthobunyavirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(-)
6926,OP390220.1_125_123205_124668,487,378,1.0,10,10.0,100.0,QHW17751.1,180,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,DNA helicase,Replication-Transcription,Homo sapiens,dsDNA
6927,OP390220.1_127_125229_126509,426,562,1.0,7,7.0,100.0,YP_009268831.1,111,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,DNA polymerase processivity factor,Replication-Transcription,Homo sapiens,dsDNA
6928,OP390220.1_129_127022_128170,382,562,0.99,5,5.0,100.0,YP_009268831.1,111,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,DNA polymerase processivity factor,Replication-Transcription,Homo sapiens,dsDNA
